Selected Geographies,Households,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",Property taxes (yearly real estate taxes),Gross rent as a percentage of household income past 12 months
"Chicago City (South)--Ashburn, Washington Heights, Morgan Park & Beverly PUMA; Illinois",47267,75390.55493,2624.594622,5.78517782
"Chicago City (South)--Auburn Gresham, Roseland, Chatham, Avalon Park & Burnside PUMA; Illinois",60402,25040.89616,851.7915632,18.40182444
"Chicago City (South)--South Chicago, Pullman, West Pullman, East Side & South Deering PUMA; Illinois",57595,37595.78297,927.3332407,13.38999913
"McHenry County (North, West & Central) PUMA; Illinois",50745,97893.50025,5497.732821,6.904128486
"McHenry County (Southeast)--Algonquin, McHenry & Nunda Townships PUMA; Illinois",68033,94832.24832,5167.361075,6.315464554
"Kendall & Grundy Counties PUMA, Illinois",63339,88431.86321,4757.721104,5.710573264
"Lake County (Northwest)--Hammond & East Chicago Cities PUMA, Indiana",48164,35606.427,617.1573997,13.01995266
"Lake County (Northeast)--Gary City & Griffith Town PUMA, Indiana",64022,26776.00169,632.9739933,11.6412327
"Lake County (Central) PUMA, Indiana",49713,80183.15551,1767.35882,5.932271237
"Lake County (South) PUMA, Indiana",51874,87273.01962,2137.559683,5.279523461
"Porter County PUMA, Indiana",69387,79097.87828,1513.720149,7.262109617
"Jasper, Starke, Fulton, Newton & Pulaski Counties PUMA; Indiana",46954,45607.51719,663.067236,5.092920731
"Kenosha County PUMA, Wisconsin",70646,63945.12782,2285.711944,10.38164935
