Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Cook County (West Central)--Lyons & Stickney Townships PUMA, Illinois",151478,4966,4196,2927,2075,2331,1564,2702,3678,2498,2547,2148,3965,4078,5098,4830,3710,26927,3756,8043,18981,6824,19330,11317,2048,939
"Cook County (Southwest)--Orland (West & Central), Palos & Lemont Townships PUMA; Illinois",172090,5084,3745,3637,1041,2242,2368,2479,2900,3070,3554,2039,5087,3955,3092,3836,1654,31473,2770,9290,18222,10700,32294,14222,3097,239
"Cook County (South Central)--Worth & Calumet Townships PUMA, Illinois",168674,5748,7652,2293,1546,1871,1496,1696,3081,1897,2722,2599,4801,2456,3738,4782,3551,27129,6084,8148,30876,12762,22020,6810,1289,1627
"Cook County (South Central)--Bremen & Orland (East) Townships PUMA, Illinois",109404,4702,3021,1304,2172,1380,1788,2114,2202,640,1728,2410,1246,3042,1298,3086,1801,23744,2822,5789,14392,7705,14606,5535,587,290
"Cook County (Southeast)--Thornton Township PUMA, Illinois",165572,6791,4667,2982,1294,1354,1869,2221,3807,3617,3415,2016,4406,4631,5123,6385,3602,38131,4086,8859,25316,7019,14354,8661,588,378
"Cook County (South)--Bloom & Rich Townships PUMA, Illinois",165561,5721,4902,1990,2655,1126,1552,2162,925,3870,4563,2356,4423,4894,3467,3125,2402,27265,2704,10025,32901,8865,18970,12494,1288,916
"Cook County (North)--Wheeling Township (North & East) PUMA, Illinois",127938,5686,3842,2674,1481,2045,1696,1020,845,2025,4322,1093,3435,1681,1467,1921,1404,15246,1552,4510,11317,8030,32621,14428,2690,907
"Cook County (Northeast)--Northfield & New Trier Townships PUMA, Illinois",143505,4371,3214,3457,2240,1598,3145,2230,2646,1635,1827,2525,2381,2154,2960,3692,291,10666,549,2827,10144,3480,35792,24644,11166,3871
"Cook County (Northwest)--Hanover & Schaumburg (Northwest) Townships PUMA, Illinois",123035,4874,4900,1289,2320,1392,1570,2417,2604,1729,5408,1897,3984,2887,2365,2685,2613,22975,1866,5021,13832,5742,17985,8420,2009,251
"Cook County (Northwest)--Schaumburg Township (South & Central) PUMA, Illinois",106211,4964,3211,2188,1408,1773,1171,1471,1346,1434,1684,1580,1767,1592,1803,1797,2099,18119,1139,4850,12648,6035,20086,10065,788,1193
"Cook County (Northwest)--Elk Grove & Wheeling (Southwest) Townships PUMA, Illinois",121158,4267,5918,998,2454,658,1682,1562,1516,1832,3129,2561,3107,2030,2403,1284,2544,18472,1535,5290,9164,7234,26659,12282,1642,935
"Cook County (North)--Maine, Norwood Park Townships & Chicago City--Edison Park PUMA; Illinois",186886,5175,6931,3324,2270,1890,1879,1728,2401,1839,3234,2520,4330,3643,4048,2907,1899,30136,3069,9554,16057,10830,42639,17670,4672,2241
"Cook County (North)--Niles & Evanston Townships PUMA, Illinois",178001,4245,5541,2787,3141,2729,1808,2592,2764,2582,2732,2574,3947,2949,3183,3391,2240,19820,2121,7438,17980,5761,42320,20109,7565,5682
