Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Miami-Dade County (North Central)--Tamiami Trail Region (South)--Tamiami PUMA, Florida",92745,2208,2255,608,1216,1232,714,1688,1221,1966,1798,1049,1248,1771,1224,1500,4226,18083,2225,4688,8857,7152,17668,5567,2041,540
"Miami-Dade County (Central)--Kendale Lakes (Southwest) & Kendall West (South) PUMA, Florida",93457,2038,2497,1154,1345,1070,1377,1429,1664,1800,1485,743,1183,2837,2075,2786,4871,15613,1834,3314,10948,8844,16320,4212,1360,658
"Miami-Dade County (East Central)--Kendall (North), Sunset & Westwood Lakes PUMA; Florida",90716,1414,2374,2148,937,831,915,1240,977,1290,1887,609,1073,1841,683,1516,3131,15649,1432,3114,10681,7260,20027,5792,2250,1645
"Miami-Dade County (Central)--The Hammocks (West), Richmond West (West) & Country Walk PUMA; Florida",109645,3033,3143,1355,1557,771,1578,1254,2527,2460,2213,2391,2358,2260,2107,2473,1180,19298,1255,4988,11547,11516,20371,4999,1750,1261
"Miami-Dade County (Southwest)--South Miami Heights PUMA, Florida",103269,3319,3623,2783,907,1956,1184,914,1446,1828,3096,2955,1475,3493,2487,3655,2828,25751,2232,3733,11208,7325,12606,1670,452,343
"Miami-Dade County (Southeast)--Cutler Bay Town & Palmetto Bay Village PUMA, Florida",108225,3495,3175,1341,1500,1493,1796,1903,2128,1464,2340,1576,3147,3686,2205,2910,1548,19645,2478,3768,11649,8029,17817,5358,1867,1907
"Miami-Dade County (South)--Homestead City (North) & Florida City (North) PUMA, Florida",105668,4719,4373,2229,1827,3542,2603,1861,1651,2765,5512,3148,4786,5058,3955,3445,2265,17817,2263,3680,8095,8469,8121,2728,463,293
"Miami-Dade (South/Outside Urban Development Boundary) & Monroe Counties PUMA, Florida",97408,2630,2412,1122,2097,950,1098,1541,1945,1076,3968,1499,1881,1880,1925,2714,920,20062,1553,4374,13468,4715,14903,5904,1575,1196
"Palm Beach County (Northeast) PUMA, Florida",97329,2053,2799,1465,783,970,1568,780,1153,1140,812,1031,893,1083,1344,2216,685,10266,2362,4128,11121,9337,23330,9775,4658,1577
"Palm Beach County (Northeast)--Palm Beach Gardens & Riviera Beach Cities PUMA, Florida",105367,2820,2052,1706,365,1107,1172,1373,997,956,547,1080,797,1483,1990,3191,1309,17332,2147,5292,12004,8699,20680,10785,4154,1329
"Palm Beach County (East)--West Palm Beach City (Southeast) & Palm Beach Town PUMA, Florida",132515,5669,5362,2205,1739,1876,1291,2694,2265,2298,2778,2661,1209,2184,3169,3641,2659,25956,2734,5172,13707,9937,21011,6900,2192,1206
"Palm Beach County (East)--Greenacres City (North) & Palm Springs Village (North) PUMA, Florida",116074,1846,4258,1000,1461,1596,2385,3051,1834,2350,4132,1690,2501,3118,2587,4011,2867,27288,1866,5765,15610,7901,11379,2818,1112,1648
"Palm Beach County (East Central)--Lake Worth City, Lantana Town & Atlantis City PUMA; Florida",111185,4116,7298,1623,1097,1249,1979,2257,1669,1763,3550,1477,1192,2626,3662,2886,2112,22990,2961,5066,10020,7683,15966,3711,1308,924
"Palm Beach County (East Central)--Greater Boynton Beach City (North) PUMA, Florida",150155,2796,3232,1934,2105,1106,1781,1369,1958,2272,2470,1201,1985,1643,2571,4295,2724,25369,4038,9901,21712,11164,27722,10439,2780,1588
"Palm Beach County (Southeast)--Greater Delray Beach City PUMA, Florida",111013,1316,1873,1019,869,77,1035,460,1152,524,367,1046,1195,2289,1930,1496,2434,21200,2514,5006,15099,7461,22409,12373,4444,1425
"Palm Beach County (Southeast)--Boca Raton City & Highland Beach Town PUMA, Florida",106840,2315,2408,1942,824,1412,1127,1222,509,773,827,513,1225,1280,1774,1507,843,14326,1827,3682,8839,5833,29278,13242,6486,2826
"Palm Beach County (West of Boca Raton City) PUMA, Florida",91357,1119,1368,2405,361,629,1010,735,979,1360,1237,995,1259,1507,1742,1835,1360,14910,2440,4793,8917,5664,20294,9862,3544,1032
"Palm Beach County (Central)--Wellington Village & Agricultural Reserve PUMA, Florida",105723,2796,2557,2331,1132,1322,1673,1101,1777,1212,3183,1783,1209,1790,2652,1961,836,11349,1112,3265,10941,9575,24760,9718,4346,1342
"Palm Beach County (West)--Glades & Western Communities PUMA, Florida",115188,3031,6041,1091,1744,822,2178,1896,1830,1987,2592,1733,3221,3561,2993,3317,2893,19744,4362,6209,11758,7849,16149,6509,882,796
