Selected Geographies,Households,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",Property taxes (yearly real estate taxes),Gross rent as a percentage of household income past 12 months
"Warren, Jasper, Marion, Dallas (West) & Madison Counties PUMA; Iowa",67275,65104.5643,2026.408948,7.371178001
"Polk (Southwest) & Dallas (East) Counties--West Des Moines & Urbandale Cities PUMA, Iowa",86537,98945.1373,3161.398916,8.814379976
"Polk County (East)--Ankeny & Altoona Cities PUMA, Iowa",61069,88574.9316,2983.064452,6.322815176
"Des Moines City PUMA, Iowa",85722,55288.4722,1608.137316,13.0344369
"Des Moines, Lee, Henry & Louisa Counties PUMA; Iowa",48217,47216.2024,1228.944418,6.919136404
