Selected Geographies,Households,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",Property taxes (yearly real estate taxes),Gross rent as a percentage of household income past 12 months
"Sagadahoc & Cumberland (North) Counties--Bath City & Brunswick PUMA, Maine",55389,69588.1258,2463.626677,6.29646681
"South Maine--York (West) & Cumberland (West) Counties PUMA, Maine",99177,46329.59446,1855.154592,4.79157466
"Cumberland (Outside Portland) & York (East) Counties--Biddeford & Saco Cities PUMA, Maine",65328,82832.11814,3123.801249,8.69140338
"Cumberland County (Southeast)--Portland, South Portland & Westbrook Cities PUMA; Maine",55810,65145.71905,2094.022308,15.4137789
