Selected Geographies,Households,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",Property taxes (yearly real estate taxes),Gross rent as a percentage of household income past 12 months
"Central Region--Madison & Yazoo Counties PUMA, Mississippi",44185,84679.603,1247.96716,5.4637094
"Central Region--Hinds (West), Warren & Copiah Counties--Vicksburg City PUMA; Mississippi",45818,36616.4628,537.137675,8.08979004
"Central Region--Rankin & Simpson Counties PUMA, Mississippi",74170,59746.3032,729.585479,6.38436025
