Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Atlanta Regional Commission (Northeast)--Gwinnett County (North)--Sugar Hill City PUMA, Georgia",125248,2621,3102,3185,2013,2937,1982,1933,1307,2424,3974,1853,2345,3761,3623,3213,2873,20732,3245,5543,10382,5126,20510,13120,2433,1011
"Atlanta Regional Commission--Gwinnett County (Central)--Lawrenceville City PUMA, Georgia",169459,6154,7356,2098,2923,2039,1545,4359,3498,2759,6122,2848,4603,3723,6479,3629,3477,25078,4496,6892,22975,10172,22399,10613,1668,1554
"Atlanta Regional Commission (Northeast)--Gwinnett County (East) PUMA, Georgia",117816,3339,5542,1323,1410,2086,2663,1874,1815,1825,1765,1541,1903,1726,2478,3248,2503,15863,2890,5392,17612,7403,22148,6906,1701,860
"Atlanta Regional Commission (Northeast)--Gwinnett County (South)--Snellville City PUMA, Georgia",150058,5299,3866,3434,2002,1583,2348,4242,2472,2161,4017,991,3363,2393,2677,3943,3672,26770,3192,6784,20075,11295,21236,9861,1206,1176
"Atlanta Regional Commission (Northeast)--Gwinnett County (Southwest)--Lilburn City PUMA, Georgia",211765,8664,11637,2760,3339,4466,4085,5364,3638,5626,8349,3612,4850,6517,6332,7384,4497,36003,3481,7391,21543,12669,25926,8967,2708,1957
"Atlanta & Northeast Georgia Regional Commissions--Newton & Rockdale Counties PUMA, Georgia",200210,6751,7150,3296,2478,2815,4703,4232,2162,1925,4135,4077,4047,4312,6372,5774,3463,42638,7389,8659,26249,12031,23376,9414,1857,905
"Atlanta Regional Commission (Southwest)--Douglas County PUMA, Georgia",145333,4239,6662,1537,1910,804,3263,2408,2611,3707,3127,2518,3300,2159,7097,3181,3815,25791,8565,7725,18127,7985,16735,5797,1568,702
"Northwest Georgia Regional Commission (Southeast)--Paulding County PUMA, Georgia",163909,5704,6318,2044,2277,2650,1867,1483,3180,2456,2172,3372,3368,2191,6095,7416,1599,31710,6996,10688,21347,9969,20621,6234,1020,1132
"Atlanta Regional Commission--Fulton County (Central)--Atlanta City (Central) PUMA, Georgia",142161,5377,3775,3518,1040,1275,2337,2121,2282,2479,1313,1903,2865,3179,5486,6390,1449,34239,4561,8048,22459,5161,13686,5402,1073,743
"Atlanta Regional Commission (South Central)--Clayton County (South) PUMA, Georgia",110751,4900,5090,1925,1360,1960,918,1618,2572,2411,3453,648,2230,2666,1955,4269,1564,24917,2165,4833,13294,6550,13193,3681,1925,654
"Atlanta Regional Commission (South Central)--Clayton County (North)--Forest Park City PUMA, Georgia",179099,8350,7206,4319,3756,3811,3924,3035,4398,2261,4392,2466,3718,3848,5641,6548,1916,41556,3193,7002,26224,11114,13840,5279,1134,168
"Atlanta Regional Commission (Southeast)--Henry County (South)--McDonough City PUMA, Georgia",118349,2355,3423,2088,1164,1795,2672,2702,1852,2075,2556,2220,994,3163,2638,3109,1525,22044,4156,6052,16480,8022,15527,7615,920,1202
"Atlanta Regional Commission (Southeast)--Henry County (North)--Stockbridge City PUMA, Georgia",111932,4320,4546,513,1206,1456,2093,2348,1660,1460,1133,2099,1912,1363,4358,3058,2235,27229,2747,4003,12978,7298,13792,6562,937,626
