Selected Geographies,Households,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",Property taxes (yearly real estate taxes),Gross rent as a percentage of household income past 12 months
"Southeast South Dakota (Outside Sioux Falls City) PUMA, South Dakota",58289,72678.0144,1827.51565,7.77108888
"Sioux Falls City PUMA, South Dakota",77059,57507.3353,1540.55454,13.9484161
