Selected Geographies,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)"
"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",83937.85557
"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",112226.5003
"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",98057.75643
"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",92405.73771
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",89450.98726
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",59299.52839
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",67076.48624
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",66115.14449
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",36879.48948
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",39307.1927
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",38386.59913
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",41404.20198
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",53193.50585
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",34585.92818
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",60138.80171
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",82922.33135
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",73167.75466
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",47614.85476
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",142041.2582
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",169683.3653
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",137122.067
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",141586.316
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",70521.56581
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",168651.9074
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",104223.8407
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",94729.16988
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",72392.90559
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",106624.9632
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",66183.10455
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",72199.16516
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",140797.0058
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",153370.1547
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",79698.60462
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",42012.19325
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",50814.48807
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",81366.44415
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",62744.72454
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",72360.99823
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",80336.21768
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",87531.2796
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",57406.15753
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",67726.74716
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",84748.20686
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",67105.03037
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",49833.31656
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",57469.24062
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",60956.24212
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",69021.70939
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",92511.00511
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",99910.29267
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",80608.11141
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",58707.52871
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",96754.69378
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",70865.91602
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",81887.30352
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",78009.70323
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",70511.95458
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",88342.05335
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",71266.50733
"Pike, Wayne & Susquehanna Counties PUMA; Pennsylvania",21993.56053
