Selected Geographies,number
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",348
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",437
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",380
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",522
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",524
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",603
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",516
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",489
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",450
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",717
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",594
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",706
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",528
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",641
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",721
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",493
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",477
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",677
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",666
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",430
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",538
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",753
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",560
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",517
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",443
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",529
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",878
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",547
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",378
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",458
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",670
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",568
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",609
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",743
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",768
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",429
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",930
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",523
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",871
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",529
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",736
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",572
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",378
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",532
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",544
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",816
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",592
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",831
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",438
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",424
"Pike, Wayne & Susquehanna Counties PUMA; Pennsylvania",1388
