Selected Geographies,Gross rent as a percentage of household income past 12 months
"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",6.719218968
"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",7.316423264
"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",14.30970699
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",27.53199001
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",29.52432183
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",19.75653121
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",26.23581434
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",42.3608249
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",40.61181443
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",43.22989407
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",39.41755185
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",30.69473865
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",39.18352
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",33.05495853
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",26.90339645
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",30.97778987
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",30.09757315
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",16.41964216
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",15.81023261
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",21.09517007
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",18.66620041
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",29.88849238
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",15.53174155
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",5.191686061
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",9.907751722
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",16.67325593
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",26.54805286
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",33.1655485
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",29.7976721
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",21.72682913
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",18.32163352
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",28.43134261
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",32.55497775
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",24.83683421
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",13.53121951
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",21.12457241
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",31.99654402
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",27.75343659
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",19.94212588
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",27.35736691
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",29.78162395
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",21.02525834
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",26.05247818
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",27.4877588
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",22.82758815
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",23.40959336
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",20.02739168
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",11.53374598
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",8.312743009
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",20.21838745
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",30.01876906
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",17.76528444
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",20.9697963
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",21.13063004
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",18.67293969
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",19.80896773
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",11.11114585
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",17.66267783
"Pike, Wayne & Susquehanna Counties PUMA; Pennsylvania",4.875553074
