Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Union County (Northeast)--Elizabeth City PUMA, New Jersey",129140,6716,5065,2687,1563,1994,2269,4885,2435,3614,5505,2583,2754,5442,2468,4709,3180,32484,1285,4964,14622,4474,8665,3340,1003,434
"Union County (North Central)--Roselle Park Borough PUMA, New Jersey",110451,2550,3207,1367,1777,1538,1393,974,1035,2624,2294,1364,1529,2407,953,3196,1543,25372,1664,4947,16126,5751,19187,5644,1296,713
"Union County (Northwest)--Summit City & Westfield Town (North) PUMA, New Jersey",101701,4052,1977,3198,1612,1299,978,793,1072,2498,1214,1549,1265,2090,2401,1279,1494,12067,454,2403,5444,2483,28436,14121,3841,3681
"Union County (Southwest)--Plainfield City & Westfield Town (South) PUMA, New Jersey",104942,3854,4481,2436,978,2196,1340,1454,1110,1069,2101,1837,1636,1863,1226,4355,1417,16635,1188,4697,7133,5646,21645,9635,2733,2277
"Union County (Southeast)--Linden, Rahway Cities & Roselle Borough (South) PUMA; New Jersey",112121,3485,3912,1882,964,1683,1577,1882,2673,805,1189,1873,1773,1864,1784,1956,2317,23252,2486,6622,15516,7390,15819,7576,1367,474
"Rockland County (North)--New City & Congers PUMA, New York",104312,3784,3325,1187,760,1211,792,1095,934,1475,2198,1800,1818,841,1955,3506,2408,17454,2185,4846,11437,5912,20120,9495,2579,1195
"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",105262,2817,2211,1604,817,1685,1186,767,1968,1077,1468,1649,1581,2557,1582,1923,1482,13014,2424,3192,11934,6124,23251,14949,2297,1703
"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",115615,8618,4962,3213,3614,3952,2053,2190,3523,2379,4371,2598,2395,4350,2316,3191,5891,19069,664,3090,11626,4099,10456,6054,699,242
"Putnam County PUMA, New York",102135,2997,1884,1341,1187,1088,1658,513,1627,639,2519,1055,1105,1787,2196,2368,1208,18402,2779,4478,13058,8057,17462,9831,1616,1280
"Westchester County (Northwest) PUMA, New York",149533,4804,6563,1202,2553,1124,2054,1134,2003,2237,3807,1505,3063,3726,3108,5253,1147,21088,3135,3904,14357,6788,28816,19379,4825,1958
"Westchester County (Northeast) PUMA, New York",135073,4500,3295,2131,1892,1808,2893,1825,2429,1434,1959,2132,2940,2285,3751,4414,727,15334,1410,4017,9471,5784,27525,18614,9033,3470
"Westchester County (Southeast) PUMA, New York",119288,3505,3817,1491,2246,1762,3260,2013,1776,2358,3530,1966,2203,2538,1867,3460,1557,13114,721,3218,11573,5874,26191,12556,4889,1803
"Westchester County (Central)--White Plains City PUMA, New York",166381,5652,3661,3652,2872,941,3709,1082,1973,3700,2889,1874,2631,2601,2238,3345,1485,20668,1791,4175,14589,5958,36091,26381,9040,3383
"Westchester County (Southwest)--Yonkers City PUMA, New York",199684,5684,8141,1995,1703,2455,2496,2721,2888,3516,3887,2557,5676,5897,6241,7238,6511,31524,6146,9501,21827,12602,26172,16468,3340,2498
"Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York",195333,5313,5995,3054,2100,2698,4461,4033,2018,1645,5302,2715,4986,3666,5075,5965,3009,34472,5342,5724,20490,9032,26999,21596,7282,2361
"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",110705,3650,2431,2575,1626,1259,1474,2618,1401,2061,2149,1335,2276,1397,2464,2237,902,10835,1017,2822,8000,3314,23715,14892,11676,2579
"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",110175,2097,1756,1842,1258,1312,2062,1417,2704,1091,1009,1460,2272,1240,1788,2222,1145,13388,904,3974,11294,4499,27972,12895,6321,2253
"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",104799,2895,2913,1471,830,1298,1798,1197,1504,1006,1108,1854,1029,1185,2134,2167,760,17173,964,3898,9247,6889,23426,14776,2733,544
"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",120890,3485,3993,1970,1283,994,1661,1923,2638,2203,1985,1566,2267,2177,3119,2794,1924,17670,2236,3848,11096,7631,25219,12119,3339,1750
"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",123451,3920,3318,1653,908,1626,821,883,1203,2149,1499,1268,3821,3891,2858,3167,2827,18312,2754,3405,17203,6855,22031,11460,4417,1202
"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",154148,5890,9889,1105,1535,1842,3201,4474,3730,2307,5936,2547,3290,4741,3971,3128,2504,34309,3797,5271,17112,8091,16140,7417,1098,823
"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",114220,4355,3000,1813,1310,890,365,1761,870,2229,1019,2172,1474,1184,1667,1633,2437,24995,1205,5225,10873,7791,22511,10170,2341,930
"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",110891,3210,2077,1741,1401,1794,1793,1145,1028,938,1997,1562,2192,1895,1514,2919,777,20867,2851,3792,10984,7726,22483,12311,1326,568
"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",92850,3593,966,1112,1312,457,1655,1633,696,1480,2086,953,1622,1452,1736,1992,1098,13642,1650,2585,7621,6584,19407,13148,3786,584
"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",101877,2928,2859,2215,1680,1004,1172,1255,888,1346,1976,2080,1255,2262,971,1776,509,17084,2126,4977,10771,5658,19059,10777,3582,1667
"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",112293,2027,1900,1519,483,734,671,1159,460,2758,2340,1693,3155,2775,1979,2342,1522,19327,1830,4445,12606,9453,22643,11444,2584,444
