Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",113354,3826,3341,1945,435,629,1034,1225,1007,3165,4442,1336,3182,4662,2635,4004,2124,19442,1897,2073,6993,5574,23714,11515,2216,938
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",160933,3927,4933,1715,600,880,1768,1806,1462,2709,2606,1458,3716,2236,3011,3170,2827,30105,1707,3241,13367,8566,41946,16996,4160,2021
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",181629,8592,10973,2464,2260,3116,2075,1676,3808,3806,8646,4731,7677,2499,3679,3205,4380,46722,2572,4013,15656,9425,18246,8963,1586,859
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",238767,8180,13656,2156,2659,2717,3489,2534,2863,3311,7337,3392,5987,17043,4540,3960,5291,51386,3365,5324,20770,17308,31617,13960,3663,2259
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",115777,3298,3351,2359,476,1084,1575,1538,1356,2322,2125,567,1697,2669,1976,1895,2327,18281,1600,4358,12085,9172,22885,11999,2893,1889
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",187105,6461,9434,2882,1162,1536,1673,1938,3320,3493,2931,1463,3529,2482,4380,4088,3657,29607,7157,7266,26842,12794,28753,15497,2963,1797
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",164613,7649,5052,2957,2152,1229,2107,1344,3830,3233,3859,2289,4597,1734,1779,2330,2341,18078,3262,5431,24136,12309,34662,13373,3388,1492
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",149884,5670,7408,1363,2453,2004,2846,3101,3595,1994,10315,3560,5328,2451,5097,4476,2597,33619,2150,3802,11251,8529,20967,4146,921,241
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",118005,4804,4230,1944,591,744,279,936,1133,286,931,1119,1580,1090,1539,844,1463,14517,2001,4517,9174,5464,34302,17585,4072,2860
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",137226,4280,8925,1354,1671,954,1143,1247,1082,2432,3456,1048,1995,2127,3496,2729,3981,26779,2308,2741,11732,8677,28459,10997,2786,827
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",186643,6833,7725,1958,2386,1789,2419,4496,2682,3475,4922,3462,3923,3661,4272,4778,4902,39105,4867,9427,16849,10864,25772,13372,1683,1021
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",138999,4701,7587,1829,1635,1078,2337,2838,882,2260,3357,1703,3690,3480,4580,3981,4115,26004,4191,5064,15060,7458,20825,7390,1959,995
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",241110,9128,10263,2399,3163,3100,2654,4105,3481,5258,5533,4818,6749,6012,8087,7698,4333,50462,10632,7613,35392,14738,23976,9750,1368,398
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",128972,2889,6379,1068,1345,1676,1472,1580,1959,2699,2415,2206,3423,3944,3441,3017,5832,23819,5836,4839,16088,6827,18046,6885,1186,101
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",128093,5789,4487,1996,2225,1289,1268,2406,4099,2491,2280,2888,4114,2800,3240,5589,2563,21426,2586,3438,13120,8193,18249,9130,1482,945
"Pike, Wayne & Susquehanna Counties PUMA; Pennsylvania",147410,4307,2633,1460,2006,1320,1164,1017,2035,1627,713,2115,1645,3094,3604,5237,3386,45196,6789,7470,15941,9657,16183,6810,1357,644
