Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Prince William County (Southeast)--Dale City, Lake Ridge & Woodbridge PUMA; Virginia",257728,12119,12540,2594,3393,1982,4444,5208,4656,4208,6174,4832,6018,4969,5916,6376,5972,32070,4022,13809,29975,16016,41529,23293,3033,2580
"Alexandria City PUMA, Virginia",160615,6520,4787,3718,1968,1763,2791,3165,1005,1508,1387,1638,1540,2432,1651,3257,1480,13149,1722,6049,12589,7702,38946,28568,8201,3079
"Fairfax County (East Central)--Annandale, West Falls Church & Bailey's Crossroads PUMA; Virginia",145691,5965,9472,2495,1850,1755,2596,3192,2258,2373,3040,2318,2744,2870,1852,5362,2205,18551,2781,2612,11827,6773,27013,15989,4505,3293
"Fairfax County (Southeast)--Woodlawn, Rose Hill & Mount Vernon PUMA; Virginia",133617,6157,3239,2916,2313,1941,2282,3421,1107,2157,2561,2507,2569,2635,1771,2285,1826,17148,1653,5445,9899,7212,26827,17699,3594,2453
"Fairfax County (Central) & Fairfax City--Burke PUMA, Virginia",160194,4882,4649,3162,1796,1778,2421,1765,1320,2840,2389,2622,2123,2888,1951,4000,1950,14005,1111,6626,19055,7290,35790,25251,5110,3420
"Fairfax County (Southwest)--Centreville (Southeast) & Lorton PUMA, Virginia",103395,4098,3067,1433,1097,2233,1182,2170,2267,1400,1586,1198,1545,1284,1874,1850,1364,9509,761,2902,8612,5576,25823,15384,3074,2106
"Fairfax County (North Central)--Vienna Town, Oakton & Fair Oaks (East) PUMA; Virginia",128538,3271,2909,2324,1606,1301,2306,2316,1945,2412,2347,2665,2858,2716,1732,3072,1962,6901,703,2151,8788,3893,29645,27437,7575,3703
"Fairfax County (South Central)--Springfield (South), West Springfield & Franconia PUMA; Virginia",112716,3528,4279,2110,1305,590,1080,1947,2062,917,2395,2431,1635,1415,2041,3451,1234,11234,1540,4442,10749,7737,24072,14883,3313,2326
"Fairfax County (Northwest)--Reston (North) & Franklin Farm PUMA, Virginia",173796,7576,6214,3604,2136,1413,3674,1943,2900,2959,2558,3263,3254,3363,3600,3623,1620,12304,1909,5424,10662,7857,44476,29005,5217,3242
"Fairfax County (Northeast)--McLean & Idylwood PUMA, Virginia",117006,3352,2172,2851,1474,1213,1676,1455,2513,1483,1459,2498,1318,3204,2529,1610,669,7596,671,1001,6214,2574,28560,25414,8358,5142
"Fairfax County (West Central)--Centreville (North & West) & Chantilly (South & West) PUMA, Virginia",115241,3054,2724,2483,1391,780,1660,1444,1143,3075,2021,1525,1130,1226,1842,2591,1911,12773,1748,5201,10003,5994,29455,15865,2003,2199
