Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Los Angeles County (South)--South Gate & Lynwood Cities PUMA, California",173389,8711,11473,1468,3012,3318,3626,4989,4327,4713,14261,4312,7304,9402,5677,6275,7155,29615,3082,5595,21477,3594,7260,1937,806,0
"Los Angeles County (South)--Downey City PUMA, California",110542,3282,4547,2646,1920,872,1580,2496,1869,1366,4012,1110,3577,2504,2297,4986,2907,21680,2287,3984,15974,4966,13486,5070,600,524
"Los Angeles County (Southeast)--La Mirada & Santa Fe Springs Cities PUMA, California",144643,4846,7424,1285,2691,1782,1228,2986,1632,2293,3971,2635,2769,2562,2298,3210,3079,34382,1941,6925,22916,7924,17782,4761,1203,118
"Los Angeles County (Southeast)--Norwalk City PUMA, California",122547,4602,9988,940,1985,2515,1650,2161,2312,3296,4238,1382,2546,3325,2112,3199,3954,25007,2258,5655,18592,6151,11091,2900,288,400
"Los Angeles County (Southeast)--Bellflower & Paramount Cities PUMA, California",116620,4912,5066,1645,1892,1592,2453,3258,1490,2726,5700,3327,1886,4572,3461,3477,3787,19909,2207,3905,18551,7570,9863,2721,266,384
"Los Angeles County (South Central)--Compton City & West Rancho Dominguez PUMA, California",158158,6831,9790,2050,1864,4733,3457,3543,4101,5657,9279,4436,4083,5117,4077,5917,4071,35759,1842,5538,20900,6103,6660,2151,141,58
"Los Angeles County (South Central)--Gardena, Lawndale Cities & West Athens PUMA; California",169195,7018,8436,2694,1673,2349,2745,2045,2483,4169,5818,3184,2966,6138,3066,5907,6627,29869,2451,8849,25641,10606,18169,4804,1241,247
"Los Angeles County (South Central)--Hawthorne City PUMA, California",115142,4195,6016,1212,2108,2207,1452,1909,2394,2501,4498,2195,2142,3536,2090,4742,3705,16961,2067,4781,18051,8083,13530,3793,602,372
"Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA; California",146393,4587,2828,3756,2475,2875,1334,2092,1332,2832,2391,1773,3460,3175,1643,2530,1232,7275,824,3337,13856,9532,42709,20008,5055,3482
"Los Angeles County (South Central)--Torrance City PUMA, California",123448,5864,2298,2490,1028,306,2298,1107,805,1972,2043,1889,1137,1331,2551,1630,1917,14101,1824,5039,15632,8553,33487,9573,2976,1597
